Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EICHERMOT,EQ,9-Jul-12,2021.15,2015,2038,1989.65,1991.5,1996.85,2004.24,11604,23257168.4,807,8540,73.6
EICHERMOT,EQ,10-Jul-12,1996.85,2010,2019.65,1995,2002,2005.7,2007.29,6294,12633910.8,752,4366,69.37
EICHERMOT,EQ,11-Jul-12,2005.7,1990,2000,1985,2000,1993.3,1994.07,1867,3722920.05,338,954,51.1
EICHERMOT,EQ,12-Jul-12,1993.3,1979.1,1992.8,1948,1980,1979.6,1969.76,6344,12496181.75,1384,4235,66.76
EICHERMOT,EQ,13-Jul-12,1979.6,1985.05,1986.05,1927.15,1930.4,1936.3,1947.97,18352,35749220.95,936,15785,86.01
EICHERMOT,EQ,16-Jul-12,1936.3,1959.65,1964.9,1946,1952,1953.55,1955.11,3731,7294502.15,531,2597,69.61
EICHERMOT,EQ,17-Jul-12,1953.55,1950.05,1978.7,1901.35,1935,1940.7,1952.01,81258,158616633,2019,72457,89.17
EICHERMOT,EQ,18-Jul-12,1940.7,1932.3,1954.95,1916,1920,1931.1,1933.49,3123,6038281.95,579,1393,44.6
EICHERMOT,EQ,19-Jul-12,1931.1,1940.65,1964.95,1940.65,1950,1952.15,1953.06,2579,5036931.3,375,1409,54.63
EICHERMOT,EQ,20-Jul-12,1952.15,1950,1964.6,1945,1960,1951.6,1952.79,2832,5530300.1,334,2096,74.01
EICHERMOT,EQ,23-Jul-12,1951.6,1950,1964.75,1930,1950,1952.45,1949.49,8011,15617365.55,714,6320,78.89
EICHERMOT,EQ,24-Jul-12,1952.45,1942.05,1970,1925,1965,1945.85,1941.4,3793,7363716.95,347,2314,61.01
EICHERMOT,EQ,25-Jul-12,1945.85,1948.9,1984.85,1925,1970,1960.9,1948.66,7046,13730276.4,602,4938,70.08
EICHERMOT,EQ,26-Jul-12,1960.9,1954,1983.9,1945,1945,1952.05,1962.37,6605,12961454.3,484,4978,75.37
EICHERMOT,EQ,27-Jul-12,1952.05,1942.65,1960,1942.65,1955.15,1950.35,1951.28,1894,3695729.85,400,1405,74.18
EICHERMOT,EQ,30-Jul-12,1950.35,1946,1986.85,1942.45,1965,1959.8,1959.2,58866,115330078.7,3669,39841,67.68
EICHERMOT,EQ,31-Jul-12,1959.8,1943.65,1973,1940.05,1955,1956.25,1957.88,13407,26249269.95,1747,12109,90.32
EICHERMOT,EQ,1-Aug-12,1956.25,1955,1955,1901.05,1921,1923.9,1934.77,20462,39589352.8,1538,13389,65.43
EICHERMOT,EQ,2-Aug-12,1923.9,1912,1969.9,1910,1960.1,1964.75,1923.98,18921,36403532.6,525,17826,94.21
EICHERMOT,EQ,3-Aug-12,1964.75,1935,2000,1935,1997.9,1993.55,1984.35,10141,20123276.4,1156,6512,64.21
EICHERMOT,EQ,6-Aug-12,1993.55,2008.75,2088.95,1990.05,2037.8,2032.65,2043.37,16879,34490106.9,2059,10140,60.07
EICHERMOT,EQ,7-Aug-12,2032.65,2055.15,2085,2044.95,2080,2075.65,2071.24,45366,93963849.45,1831,41185,90.78
EICHERMOT,EQ,8-Aug-12,2075.65,2075,2107,2075,2087.1,2089.95,2091.63,6412,13411503,722,3878,60.48
EICHERMOT,EQ,9-Aug-12,2089.95,2044,2118.95,2044,2090,2087.85,2091.43,7257,15177524.7,905,3870,53.33
EICHERMOT,EQ,10-Aug-12,2087.85,2050,2087.75,2030,2083,2068.55,2063.59,29417,60704558.6,3322,22177,75.39
EICHERMOT,EQ,13-Aug-12,2068.55,2085.05,2098.95,2060,2083.1,2079.35,2084.24,5087,10602515.35,733,3476,68.33
EICHERMOT,EQ,14-Aug-12,2079.35,2075,2108.9,2075,2107,2101.8,2100.75,22496,47258429,1548,20382,90.6
EICHERMOT,EQ,16-Aug-12,2101.8,2121.85,2299.95,2121.85,2180,2221.25,2176.09,38974,84810817.45,3441,26356,67.62
EICHERMOT,EQ,17-Aug-12,2221.25,2225.05,2287.8,2211.05,2228.2,2225.25,2245.38,25171,56518434,2255,15698,62.37
EICHERMOT,EQ,21-Aug-12,2225.25,2250,2284.8,2192.25,2230,2229.85,2231.14,8619,19230174.25,1645,5525,64.1
EICHERMOT,EQ,22-Aug-12,2229.85,2232.15,2245,2220,2230,2232,2231.64,6110,13635320.15,704,3405,55.73
EICHERMOT,EQ,23-Aug-12,2232,2235.75,2319.95,2210,2210.25,2222.45,2243.55,9103,20423065.4,1302,5486,60.27
EICHERMOT,EQ,24-Aug-12,2222.45,2201,2249.5,2062,2215.7,2183.2,2149.4,16596,35671515.05,4116,8902,53.64
EICHERMOT,EQ,27-Aug-12,2183.2,2155.4,2227.6,2155.4,2160,2172.5,2203.91,30685,67626992.6,1767,27518,89.68
EICHERMOT,EQ,28-Aug-12,2172.5,2186.65,2192.2,2110.7,2132,2150.75,2149.19,10488,22540756.15,1497,6604,62.97
EICHERMOT,EQ,29-Aug-12,2150.75,2150,2158.65,2086.4,2157.6,2140.1,2117.69,8448,17890276.05,1670,4134,48.93
EICHERMOT,EQ,30-Aug-12,2140.1,2135.4,2150,2092.8,2130.15,2120.15,2117.2,12571,26615380.4,3019,9386,74.66
EICHERMOT,EQ,31-Aug-12,2120.15,2125,2199,2095.05,2149,2144.8,2130.99,9362,19950291.75,1178,5831,62.28
EICHERMOT,EQ,3-Sep-12,2144.8,2150,2209.4,2075,2095,2117.5,2169.07,21418,46457094.5,1569,16271,75.97
EICHERMOT,EQ,4-Sep-12,2117.5,2119,2121.95,2060,2080.25,2079.9,2075.79,22150,45978858.5,3522,14864,67.11
EICHERMOT,EQ,5-Sep-12,2079.9,2080,2112,2055.05,2063.5,2064.05,2086.62,25428,53058542.85,2513,20657,81.24
EICHERMOT,EQ,6-Sep-12,2064.05,2063,2099,2050.1,2059.65,2065.55,2081.23,6173,12847415.85,1476,2971,48.13
EICHERMOT,EQ,7-Sep-12,2065.55,2076,2088.4,2072.5,2085,2083,2080.83,7196,14973618.25,1036,5439,75.58
EICHERMOT,EQ,8-Sep-12,2083,2065,2084.95,2065,2080,2079.95,2076.22,91,188935.6,20,25,27.47
EICHERMOT,EQ,10-Sep-12,2079.95,2083.6,2099,2075,2089,2089.15,2084.89,8138,16966811.45,944,6434,79.06
EICHERMOT,EQ,11-Sep-12,2089.15,2099,2160,2080,2110,2110.3,2132.29,34572,73717445.25,1852,30119,87.12
EICHERMOT,EQ,12-Sep-12,2110.3,2101.1,2188,2101.1,2182,2160.2,2155.59,7129,15367220.95,1083,2951,41.39
EICHERMOT,EQ,13-Sep-12,2160.2,2194,2250,2165,2238.95,2238.2,2215.14,33885,75059878.3,4920,24144,71.25
EICHERMOT,EQ,14-Sep-12,2238.2,2247.25,2275,2221,2250,2269.6,2256.82,13486,30435489.85,2515,9871,73.19
EICHERMOT,EQ,17-Sep-12,2269.6,2272.95,2325.1,2269.6,2321.95,2316,2302.03,11300,26012949.6,1902,7175,63.5
EICHERMOT,EQ,18-Sep-12,2316,2310,2314.95,2270,2299.45,2291.65,2297.31,5701,13096960.95,911,3525,61.83
EICHERMOT,EQ,20-Sep-12,2291.65,2270.85,2275.1,2215,2241.5,2242.65,2249.09,14934,33587845.4,745,12946,86.69
EICHERMOT,EQ,21-Sep-12,2242.65,2299.85,2300,2143.05,2257,2208.85,2209.81,40248,88940376.55,5023,26337,65.44
